Date;counter;BTC;BTC1;ETH;ETH1;BNB;BNB1;XRP;XRP1;SOL;SOL1;LUNA;LUNA1;DOT;DOT1;SPY;SPY1;IPO;IPO1;GLD;GLD1;DBTC;DETH;DBNB;DXRP;DSOL;DLUNA;DDOT;DSPY;DIPO;DGLD
2020-03-27;559;6469.8;0.426483675;133.94;0.116618634;12.52;0.685651698;0.18;0.073170732;0;0;0.14;0.108527132;0;0;253.42;0.925160631;26.32;0.926108374;152.25;1.214986833;-0.036722144;-0.03197141;-0.052532489;0.00671927;0;-0.031658461;0;-0.029785657;-0.026267147;-0.006460487
2020-03-30;560;6429.84;0.423849546;132.9;0.115713129;12.29;0.67305586;0.17;0.069105691;0;0;0.14;0.108527132;0;0;261.65;0.9552059;26.62;0.936664321;152.92;1.220333573;-0.006175856;-0.007715528;-0.018877996;-0.022838333;0;-0.029336379;0;0.032475716;0.011398214;0.004400644
2020-03-31;561;6438.64;0.424429635;133.59;0.116313897;12.58;0.688937568;0.17;0.069105691;0;0;0.14;0.108527132;0;0;257.75;0.940968166;26.34;0.926812104;148.05;1.181469955;0.001369044;0.005184368;0.023990133;0.013893164;0;0.008481387;0;-0.014905385;-0.010518444;-0.031846685
2020-04-01;562;6606.78;0.435513279;135.63;0.11809008;12.74;0.69769989;0.18;0.073170732;0;0;0.14;0.108527132;0;0;246.15;0.898620035;25.32;0.890921886;149.45;1.192642247;0.026112924;0.015277569;0.012716739;0.004353729;0;0.019758656;0;-0.045004873;-0.038724374;0.009456224
2020-04-02;563;6793.62;0.447829612;142.03;0.123662421;13.07;0.71577218;0.18;0.073170732;0;0;0.15;0.11627907;0;0;251.83;0.919356016;24.5;0.862068966;151.9;1.212193759;0.028281288;0.047145745;0.02550982;0.018919366;0;0.024448274;0;0.023075394;-0.032385466;0.016393423
2020-04-03;564;6733.39;0.443859302;142.09;0.123714661;13.37;0.732201533;0.18;0.073170732;0;0;0.15;0.11627907;0;0;248.19;0.906067465;24.02;0.845179451;152.65;1.218178916;-0.00886674;0.000437692;0.023446657;0.004629422;0;0.004542761;0;-0.014454195;-0.019591837;0.004937459
2020-04-06;565;7271.78;0.47934951;169.14;0.147266506;15.08;0.82584885;0.2;0.081300813;0;0;0.18;0.139534884;0;0;264.86;0.96692465;25.87;0.910274455;156.88;1.251935201;0.079958872;0.190332338;0.12798265;0.089370191;0;0.19737752;0;0.067166215;0.077019192;0.027710522
2020-04-07;566;7176.41;0.473062801;165.1;0.143748966;14.68;0.803943045;0.19;0.077235772;0;0;0.17;0.131782946;0;0;265.13;0.967910339;25.77;0.906755806;156.04;1.245231825;-0.013114627;-0.023850268;-0.026714405;-0.017457265;0;-0.025723928;0;0.001019482;-0.00386552;-0.005354487
2020-04-08;567;7334.1;0.483457591;172.64;0.150313879;15.06;0.82475356;0.2;0.081300813;0;0;0.18;0.139534884;0;0;274.03;1.000401577;26.71;0.939831105;154.65;1.234139334;0.021972544;0.045667512;0.025510186;0.045686204;0;0.047941742;0;0.033568415;0.036476484;-0.008907966
2020-04-09;568;7302.09;0.481347519;170.81;0.148720538;15.06;0.82475356;0.2;0.081300813;0;0;0.18;0.139534884;0;0;278.2;1.015625;27.21;0.957424349;158.69;1.266379379;-0.004364446;-0.010626602;0.000433579;-0.0130035;0;-0.011036426;0;0.015217359;0.018719581;0.026123557
2020-04-13;569;6845.04;0.451219175;156.28;0.136069585;15.03;0.823110624;0.19;0.077235772;0.78;1;0.18;0.139534884;0;0;275.66;1.00635222;27.36;0.962702322;161.41;1.288085548;-0.062591915;-0.085052578;-0.001870659;-0.053087659;0;0.026794226;0;-0.009130151;0.005512753;0.017140349
2020-04-14;570;6842.43;0.451047126;157.6;0.13721888;15.53;0.850492881;0.19;0.077235772;0.66;0.846153846;0.2;0.15503876;0;0;283.79;1.036032418;28.33;0.996833216;162.68;1.298220413;-0.000381278;0.008426144;0.032635032;-0.012768201;-0.149012897;0.108891316;0;0.029492871;0.035453179;0.007868093
2020-04-15;571;6642.11;0.437842203;153.29;0.133466257;14.59;0.799014239;0.18;0.073170732;0.65;0.833333333;0.2;0.15503876;0;0;277.76;1.014018692;28.45;1.001055595;161.85;1.29159684;-0.029275848;-0.027345131;-0.059977098;-0.021933256;-0.023075122;-0.010249313;0;-0.021248102;0.004235828;-0.005101961
2020-04-16;572;7116.8;0.469133361;172.16;0.149895954;15.7;0.859802848;0.19;0.077235772;0.69;0.884615385;0.22;0.170542636;0;0;279.1;1.018910631;28.44;1.00070373;161.71;1.290479611;0.071467402;0.12310565;0.075977014;0.048733933;0.068298046;0.090661186;0;0.004824294;-0.000351494;-0.000864992
2020-04-17;573;7096.18;0.467774108;171.64;0.149443201;15.74;0.861993428;0.19;0.077235772;0.66;0.846153846;0.22;0.170542636;0;0;286.64;1.046436916;29.31;1.031315975;158.57;1.265421754;-0.002897316;-0.003013516;0.002060342;0.000515507;-0.043554289;-0.013044311;0;0.027015438;0.030590646;-0.019417475
2020-04-20;574;6881.96;0.453652909;172.3;0.150017849;15.09;0.826396495;0.18;0.073170732;0.54;0.692307692;0.21;0.162790698;0;0;281.59;1.028000876;29.89;1.051724138;159.7;1.27443939;-0.03018891;0.003837045;-0.041288629;-0.035288798;-0.184517684;-0.040167902;0;-0.017617983;0.019788469;0.007126127
2020-04-21;575;6880.32;0.453544802;172.74;0.150400947;15.21;0.832968237;0.18;0.073170732;0.59;0.756410256;0.21;0.162790698;0;0;273.04;0.996787383;28.85;1.01513019;158.61;1.265740962;-0.000237615;0.002556838;0.00797917;0.004567006;0.090656852;-0.011313503;0;-0.030363248;-0.034794213;-0.006825273
2020-04-22;576;7117.21;0.469160388;182.6;0.158985834;15.69;0.859255203;0.19;0.077235772;0.69;0.884615385;0.2;0.15503876;0;0;279.1;1.018910631;29.68;1.044334975;161.73;1.290639215;0.034429237;0.057091636;0.032052828;0.019758257;0.176874684;-0.040437648;0;0.022194539;0.028769497;0.019670859
2020-04-23;577;7429.72;0.489760779;185.03;0.161101582;16.01;0.876779847;0.19;0.077235772;0.63;0.807692308;0.2;0.15503876;0;0;279.08;1.018837617;29.57;1.040464462;163.34;1.303487351;0.043910071;0.013302835;0.019948054;0.019902112;-0.092747119;-0.003132329;0;-7.17E-05;-0.003706199;0.009954863
2020-04-24;578;7550.9;0.497748861;189.24;0.164767137;16.02;0.877327492;0.19;0.077235772;0.63;0.807692308;0.2;0.15503876;0;0;282.97;1.033038843;30.11;1.059465165;162.64;1.297901205;0.016309658;0.022743864;0.000637878;0.010192425;0.01081349;-0.00514868;0;0.013938706;0.018261786;-0.004285521
